Date : 2025-08-22 23:05:23
Directory : d:\python_2.0\PythonApplication1\PythonApplication1\project\mb
Total : 211 files,  69060 codes, 7598 comments, 11108 blanks, all 87766 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\tests\run_integration_tests.bat                                      | Batch            |        254 |         28 |         48 |        330 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\tests\run_integration_tests.sh                                       | Shell Script     |        243 |         34 |         55 |        332 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\tests\stress_test_config.py                                          | Python           |        184 |         34 |         60 |        278 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\tests\test_ai_decision_engine.py                                     | Python           |        362 |         53 |         74 |        489 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\tests\test_alert_integration.py                                      | Python           |        211 |         60 |         62 |        333 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\tests\test_alert_manager.py                                          | Python           |        292 |         80 |         84 |        456 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\tests\test_backtesting_engine.py                                     | Python           |        594 |         72 |        100 |        766 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\tests\test_broker_integration.py                                     | Python           |        353 |         50 |         97 |        500 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\tests\test_comprehensive_integration.py                              | Python           |        948 |        135 |        255 |      1,338 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\tests\test_config.json                                               | JSON             |        115 |          0 |          0 |        115 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\tests\test_database.py                                               | Python           |        213 |         69 |         62 |        344 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\tests\test_database_simple.py                                        | Python           |          0 |          0 |          1 |          1 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\tests\test_diversification_rules.py                                  | Python           |        258 |         45 |         66 |        369 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\tests\test_enhanced_market_monitor.py                                | Python           |        390 |         73 |         87 |        550 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\tests\test_entity_recognizer.py                                      | Python           |        204 |         48 |         72 |        324 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\tests\test_geopolitical_risk_assessment.py                           | Python           |        496 |         53 |         80 |        629 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\tests\test_integration_comprehensive_workflow.py                     | Python           |        869 |        132 |        249 |      1,250 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\tests\test_integration_core.py                                       | Python           |        692 |        102 |        231 |      1,025 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\tests\test_integration_workflow.py                                   | Python           |        893 |        156 |        240 |      1,289 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\tests\test_market_data.py                                            | Python           |        492 |         82 |         96 |        670 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\tests\test_market_monitor.py                                         | Python           |        287 |         71 |         75 |        433 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\tests\test_moex_client.py                                            | Python           |        325 |         47 |         75 |        447 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\tests\test_moex_compliance.py                                        | Python           |        226 |         70 |         70 |        366 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\tests\test_news_aggregator.py                                        | Python           |        358 |         47 |         78 |        483 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\tests\test_news_data.py                                              | Python           |        482 |         57 |         78 |        617 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\tests\test_notification_service.py                                   | Python           |        373 |         95 |         89 |        557 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\tests\test_paper_trading_engine.py                                   | Python           |        417 |         98 |        126 |        641 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\tests\test_performance_analytics.py                                  | Python           |        329 |         83 |         98 |        510 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\tests\test_portfolio_manager.py                                      | Python           |        381 |         83 |        101 |        565 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\tests\test_reasoning_engine.py                                       | Python           |        440 |         53 |         86 |        579 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\tests\test_risk_manager.py                                           | Python           |        366 |         62 |         94 |        522 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\tests\test_russian_nlp.py                                            | Python           |        166 |         35 |         50 |        251 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\tests\test_russian_tax_reporter.py                                   | Python           |        420 |         75 |         95 |        590 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\tests\test_sentiment_analyzer.py                                     | Python           |        309 |         53 |         82 |        444 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\tests\test_technical_analyzer.py                                     | Python           |        229 |         43 |         67 |        339 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\tests\test_trading_strategies.py                                     | Python           |        548 |         63 |        102 |        713 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\tests\test_transaction_logger.py                                     | Python           |        359 |         56 |         87 |        502 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\tests\test_volume_analyzer.py                                        | Python           |        188 |         53 |         67 |        308 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\README.md                                                        | Markdown         |         90 |          0 |         28 |        118 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\backend\app.py                                                   | Python           |        385 |         18 |         23 |        426 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\backend\requirements.txt                                         | pip requirements |          3 |          0 |          0 |          3 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\build\asset-manifest.json                                        | JSON             |         13 |          0 |          0 |         13 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\build\index.html                                                 | HTML             |          1 |          0 |          0 |          1 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\build\static\css\main.fd854887.css                               | PostCSS          |          1 |          1 |          0 |          2 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\build\static\js\main.74cf5bfe.js                                 | JavaScript       |          1 |          2 |          0 |          3 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\package-lock.json                                                | JSON             |     22,261 |          0 |          1 |     22,262 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\package.json                                                     | JSON             |         45 |          0 |          0 |         45 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\public\index.html                                                | HTML             |         18 |          0 |          0 |         18 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\src\App.css                                                      | PostCSS          |         28 |          0 |          5 |         33 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\src\App.js                                                       | JavaScript       |         27 |          0 |          2 |         29 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\src\components\Charts\PortfolioPerformanceChart.js               | JavaScript       |        259 |          4 |         23 |        286 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\src\components\Charts\RealTimeChart.js                           | JavaScript       |        207 |          8 |         26 |        241 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\src\components\Charts\RealTimeChart.test.js                      | JavaScript       |         35 |          4 |          7 |         46 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\src\components\Charts\TechnicalIndicators.js                     | JavaScript       |        266 |         13 |         35 |        314 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\src\components\Layout\Layout.css                                 | PostCSS          |         39 |          0 |          6 |         45 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\src\components\Layout\Layout.js                                  | JavaScript       |         99 |          0 |          6 |        105 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\src\components\Layout\Layout.test.js                             | JavaScript       |         77 |          4 |         14 |         95 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\src\components\News\RussianNewsFeed.js                           | JavaScript       |        265 |          2 |         17 |        284 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\src\components\News\RussianNewsFeed.test.js                      | JavaScript       |         31 |          5 |          8 |         44 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\src\components\Trading\NotificationSystem.css                    | PostCSS          |         80 |          2 |         20 |        102 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\src\components\Trading\NotificationSystem.js                     | JavaScript       |        408 |          2 |         25 |        435 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\src\components\Trading\RiskAssessment.css                        | PostCSS          |         71 |          2 |         18 |         91 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\src\components\Trading\RiskAssessment.js                         | JavaScript       |        337 |          1 |         15 |        353 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\src\components\Trading\TradingSignals.css                        | PostCSS          |         89 |          0 |         15 |        104 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\src\components\Trading\TradingSignals.js                         | JavaScript       |        348 |          1 |         20 |        369 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\src\components\Trading\TradingSignals.test.js                    | JavaScript       |         91 |          2 |         17 |        110 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\src\i18n\config.js                                               | JavaScript       |         18 |          0 |          2 |         20 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\src\i18n\locales\ru.json                                         | JSON             |        249 |          0 |          0 |        249 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\src\index.css                                                    | PostCSS          |         42 |          0 |          9 |         51 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\src\index.js                                                     | JavaScript       |         11 |          0 |          1 |         12 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\src\pages\Dashboard\Dashboard.css                                | PostCSS          |        102 |          5 |         25 |        132 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\src\pages\Dashboard\Dashboard.js                                 | JavaScript       |        209 |          1 |         15 |        225 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\src\pages\Portfolio\Portfolio.css                                | PostCSS          |         27 |          0 |          6 |         33 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\src\pages\Portfolio\Portfolio.js                                 | JavaScript       |        224 |          1 |         12 |        237 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\src\pages\Portfolio\Portfolio.test.js                            | JavaScript       |         66 |          3 |         14 |         83 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\src\pages\TradingDecisions\TradingDecisions.css                  | PostCSS          |        132 |          1 |         31 |        164 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\src\pages\TradingDecisions\TradingDecisions.js                   | JavaScript       |        141 |          1 |          8 |        150 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\src\pages\TradingDecisions\TradingDecisions.test.js              | JavaScript       |         98 |          4 |         16 |        118 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\src\pages\TradingHistory\TradingHistory.css                      | PostCSS          |         46 |          0 |         10 |         56 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\src\pages\TradingHistory\TradingHistory.js                       | JavaScript       |        319 |          2 |         24 |        345 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\src\pages\TradingHistory\TradingHistory.test.js                  | JavaScript       |         98 |          5 |         24 |        127 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\russian_trading_bot\web\src\setupTests.js                                                | JavaScript       |         39 |          8 |          5 |         52 |
| d:\python_2.0\PythonApplication1\PythonApplication1\project\mb\Новая папка\README.md                                                                    | Markdown         |      1,007 |          0 |        171 |      1,178 |
| Total                                                                                                                                                   |                  |     69,060 |      7,598 |     11,108 |     87,766 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
